Date,Open,High,Low,Close,Adj Close,Volume
01-01-2019,1253,1271,1250,1266.400024,1245.410767,292677
02-01-2019,1268,1288,1251.800049,1258.75,1237.887573,658775
03-01-2019,1258,1273,1254.050049,1266.650024,1245.65686,322081
04-01-2019,1259,1297.300049,1259,1293,1271.569824,725206
07-01-2019,1299,1300,1275,1282.099976,1260.850464,683914
08-01-2019,1281.900024,1282,1245.550049,1249.5,1228.790894,893261
09-01-2019,1256.25,1271,1249.5,1267.400024,1246.394287,289161
10-01-2019,1263,1292.25,1256.75,1285.400024,1264.095947,428709
11-01-2019,1286,1295.300049,1269.25,1292.699951,1271.27478,467514
14-01-2019,1289.800049,1328.449951,1282,1322.599976,1300.679077,887486
15-01-2019,1323.349976,1334.900024,1317.199951,1329.150024,1307.12085,466539
16-01-2019,1328.199951,1354,1328.099976,1347.599976,1325.265015,513687
17-01-2019,1344.900024,1358.650024,1341.25,1352.949951,1330.526367,420061
18-01-2019,1350,1372.900024,1335.050049,1366.300049,1343.655029,702678
21-01-2019,1366.300049,1387.25,1315.550049,1326.050049,1304.072266,1293001
22-01-2019,1316.099976,1323,1288.5,1293.800049,1272.356567,1100328
23-01-2019,1296.900024,1317,1284.050049,1293.849976,1272.405884,671259
24-01-2019,1310,1339.75,1294.199951,1314.650024,1292.861206,831256
25-01-2019,1321.199951,1331.900024,1280.849976,1292.300049,1270.88147,571327
28-01-2019,1287,1302.099976,1262.650024,1265.800049,1244.820679,254670
29-01-2019,1259,1306.75,1254,1299.650024,1278.109741,463118
30-01-2019,1299,1323,1297.5,1319.599976,1297.728882,315858
31-01-2019,1315,1334,1313.349976,1325.650024,1303.678955,471658
01-02-2019,1320,1357.900024,1320,1341.25,1319.020264,530789
04-02-2019,1335,1336.900024,1278.5,1296.75,1275.25769,548166
05-02-2019,1300,1309.800049,1282,1290.849976,1269.455444,423344
06-02-2019,1298,1315,1287.900024,1304.050049,1282.436768,410854
07-02-2019,1304.050049,1319,1290.099976,1295.849976,1274.372681,305098
08-02-2019,1298.5,1298.5,1252.099976,1257.849976,1237.002686,581292
11-02-2019,1300,1300,1090,1121.900024,1103.305786,5424327
12-02-2019,1133,1189.900024,1101.099976,1132.25,1113.484131,4732005
14-02-2019,1155.5,1169.949951,1126.849976,1152.349976,1133.250732,708081
15-02-2019,1142.099976,1152.099976,1130,1142.800049,1123.859253,386448
18-02-2019,1143,1149.150024,1083.099976,1116.849976,1098.339355,1323161
19-02-2019,1125,1146.699951,1112.099976,1116.400024,1097.896851,969990
20-02-2019,1127,1143.400024,1120,1129.599976,1110.878052,1188434
21-02-2019,1135,1158,1127,1152.199951,1133.103394,1308447
22-02-2019,1145,1155.5,1139.599976,1146.199951,1127.202759,511047
25-02-2019,1145.900024,1198,1131.400024,1187.449951,1167.769165,1374338
26-02-2019,1175.599976,1177.050049,1148,1157.349976,1138.168091,1071336
27-02-2019,1166,1179.900024,1140.699951,1149.300049,1130.251587,1037445
28-02-2019,1155.050049,1160,1137,1140.900024,1121.990601,695585
01-03-2019,1140.099976,1165.849976,1140,1151.849976,1132.759399,904319
05-03-2019,1159.800049,1195,1146.800049,1191.900024,1172.145508,564049
06-03-2019,1186.900024,1212.849976,1183.5,1192.75,1172.981689,1679631
07-03-2019,1195.349976,1202,1179.300049,1186.949951,1167.277588,642857
08-03-2019,1186,1188.449951,1167,1171.900024,1152.477051,268170
11-03-2019,1172.5,1211.800049,1172.5,1204.050049,1184.094238,938550
12-03-2019,1211.900024,1211.900024,1132.699951,1157.25,1138.069946,1370850
13-03-2019,1160,1166.050049,1092,1117.599976,1099.076782,1797280
14-03-2019,1123,1143.400024,1116.099976,1131.949951,1113.189087,717230
15-03-2019,1138,1152.900024,1110,1124.150024,1105.518433,731215
18-03-2019,1126.400024,1139.900024,1115,1119.650024,1101.092896,353486
19-03-2019,1121.849976,1144.949951,1121.849976,1139.900024,1121.007446,398908
20-03-2019,1147.699951,1180.099976,1135,1166,1146.674805,1269611
22-03-2019,1173.25,1182.150024,1144,1150.599976,1131.529907,754339
25-03-2019,1149,1160.849976,1134.449951,1147.050049,1128.038818,467825
26-03-2019,1146,1160,1138.949951,1151.900024,1132.80835,434281
27-03-2019,1163,1178.099976,1150.050049,1153.75,1134.627808,486185
28-03-2019,1154,1188,1154,1182.949951,1163.34375,693131
01-04-2019,1231,1278.800049,1226.5,1269.5,1248.459351,1002709
02-04-2019,1269,1284,1248.650024,1255.300049,1234.494629,638278
