Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,2645.000000,2664.000000,2612.100098,2656.850098,2608.035889,917872
2019-01-02,2635.100098,2662.000000,2601.899902,2614.050049,2566.021973,1304915
2019-01-03,2612.000000,2648.000000,2575.300049,2586.199951,2538.683594,1282478
2019-01-04,2601.000000,2611.899902,2563.649902,2576.050049,2528.720215,1051021
2019-01-07,2601.000000,2605.000000,2545.350098,2553.600098,2506.682861,1024328
2019-01-08,2560.000000,2582.000000,2525.050049,2537.050049,2490.436768,1233379
2019-01-09,2546.000000,2559.800049,2510.000000,2524.350098,2477.970215,1093992
2019-01-10,2526.000000,2542.449951,2504.699951,2514.649902,2468.448242,910839
2019-01-11,2516.000000,2530.000000,2488.000000,2514.199951,2468.006348,818218
2019-01-14,2515.949951,2552.899902,2484.149902,2544.800049,2498.044189,1021504
2019-01-15,2551.000000,2613.000000,2551.000000,2604.199951,2556.352539,1466303
2019-01-16,2598.399902,2612.149902,2562.800049,2569.850098,2522.634033,952597
2019-01-17,2574.000000,2586.550049,2527.050049,2535.899902,2489.307861,994183
2019-01-18,2545.000000,2555.000000,2525.100098,2542.899902,2496.179199,753775
2019-01-21,2548.000000,2606.000000,2526.600098,2594.199951,2546.536865,1332159
2019-01-22,2585.000000,2635.000000,2575.000000,2621.899902,2573.727783,1474713
2019-01-23,2619.000000,2653.000000,2611.000000,2634.350098,2585.948975,992504
2019-01-24,2639.000000,2653.500000,2603.100098,2635.649902,2587.225342,753856
2019-01-25,2649.000000,2661.000000,2585.000000,2599.550049,2551.788330,916927
2019-01-28,2610.000000,2610.000000,2355.000000,2458.500000,2413.329834,2364047
2019-01-29,2468.000000,2570.100098,2371.649902,2515.550049,2469.331787,6118833
2019-01-30,2580.000000,2623.699951,2546.000000,2595.500000,2547.812500,3879707
2019-01-31,2608.000000,2608.000000,2526.000000,2574.850098,2527.542725,2083418
2019-02-01,2575.000000,2687.899902,2575.000000,2628.399902,2580.108398,2117768
2019-02-04,2610.000000,2623.550049,2572.199951,2594.449951,2546.782227,942113
2019-02-05,2600.000000,2642.100098,2593.949951,2603.600098,2555.764160,1010817
2019-02-06,2619.000000,2720.000000,2612.100098,2711.250000,2661.436035,1798461
2019-02-07,2725.000000,2731.000000,2684.100098,2696.600098,2647.055664,1760580
2019-02-08,2670.000000,2737.449951,2670.000000,2707.149902,2657.411133,1510785
2019-02-11,2724.699951,2724.699951,2635.000000,2657.199951,2608.379395,1194702
2019-02-12,2668.000000,2677.149902,2616.300049,2621.800049,2573.629639,1200370
2019-02-14,2579.949951,2622.000000,2556.899902,2609.199951,2561.261230,1214126
2019-02-15,2610.000000,2610.000000,2506.000000,2561.100098,2514.044922,1640696
2019-02-18,2548.050049,2561.000000,2512.449951,2549.449951,2502.608887,1154520
2019-02-19,2551.000000,2606.949951,2545.000000,2559.800049,2512.768799,1148339
2019-02-20,2585.000000,2614.800049,2571.000000,2606.149902,2558.267090,1038127
2019-02-21,2610.000000,2660.000000,2593.050049,2654.699951,2605.924805,1139823
2019-02-22,2652.550049,2674.000000,2632.399902,2640.399902,2591.887451,825672
2019-02-25,2639.000000,2675.000000,2613.750000,2657.750000,2608.919434,1024040
2019-02-26,2637.300049,2678.000000,2600.000000,2657.750000,2608.919434,1618996
2019-02-27,2670.000000,2696.649902,2625.000000,2642.000000,2593.458740,1147839
2019-02-28,2666.600098,2667.000000,2630.000000,2649.000000,2600.329834,1136843
2019-03-01,2663.300049,2674.300049,2640.000000,2660.750000,2611.864014,707094
2019-03-05,2655.000000,2708.350098,2644.600098,2695.149902,2645.632080,847307
2019-03-06,2715.000000,2774.199951,2700.000000,2766.699951,2715.867676,1543424
2019-03-07,2774.949951,2782.300049,2725.000000,2734.800049,2684.553711,859851
2019-03-08,2724.899902,2779.000000,2716.600098,2768.300049,2717.437744,1178087
2019-03-11,2769.000000,2807.949951,2769.000000,2791.050049,2739.770020,1169075
2019-03-12,2808.800049,2816.649902,2745.500000,2753.050049,2702.468018,1385335
2019-03-13,2760.000000,2837.949951,2748.850098,2828.149902,2776.188232,1549296
2019-03-14,2832.000000,2835.000000,2787.100098,2808.100098,2756.506836,896055
2019-03-15,2818.800049,2899.000000,2815.000000,2860.750000,2808.189209,2091562
2019-03-18,2872.000000,2941.100098,2845.000000,2929.550049,2875.725586,1819986
2019-03-19,2930.000000,2962.899902,2910.050049,2920.899902,2867.234375,1480565
2019-03-20,2924.800049,2934.550049,2857.800049,2868.600098,2815.895508,1406862
2019-03-22,2868.000000,2895.500000,2816.000000,2836.649902,2784.532227,1250876
2019-03-25,2804.000000,2862.000000,2801.000000,2849.800049,2797.440674,1066757
2019-03-26,2860.000000,2942.000000,2859.000000,2934.350098,2880.437256,1570637
2019-03-27,2950.000000,3014.149902,2932.500000,2945.250000,2891.136963,2419656
2019-03-28,2940.100098,3000.000000,2940.050049,2995.850098,2940.807129,1366945
2019-04-01,3030.199951,3046.399902,2991.000000,3001.449951,2946.304443,1109000
2019-04-02,3024.800049,3077.000000,2998.350098,3055.199951,2999.066895,1136238
2019-04-03,3073.000000,3089.000000,3038.149902,3046.000000,2990.035889,1052752
2019-04-04,3060.000000,3065.000000,3017.449951,3039.449951,2983.606201,772776
2019-04-05,3048.000000,3125.000000,3046.100098,3114.199951,3056.982666,1244408
2019-04-08,3123.000000,3130.000000,3018.000000,3024.100098,2968.538330,1642189
2019-04-09,3016.550049,3049.100098,2979.449951,3008.699951,2953.420898,1733324
2019-04-10,3011.100098,3037.000000,2986.000000,2998.350098,2943.261475,994899
2019-04-11,3008.000000,3055.000000,2992.000000,3047.850098,2991.851563,1016712
2019-04-12,3052.000000,3062.000000,3001.300049,3008.800049,2953.519287,1048138
2019-04-15,3028.600098,3033.000000,3001.949951,3022.250000,2966.721924,651634
2019-04-16,3018.000000,3057.300049,3018.000000,3032.500000,2976.783936,1021478
2019-04-18,3038.699951,3046.000000,2995.000000,3014.449951,2959.065430,658826
2019-04-22,3010.000000,3010.000000,2975.000000,2991.250000,2936.291748,662157
2019-04-23,2992.000000,3058.500000,2987.050049,3035.050049,2979.287109,991968
2019-04-24,3035.000000,3099.000000,3032.000000,3093.050049,3036.221436,990580
2019-04-25,3099.800049,3114.399902,3072.649902,3081.000000,3024.392578,1240564
2019-04-26,3089.000000,3105.000000,3045.000000,3096.850098,3039.951416,613807
2019-04-30,3092.000000,3120.000000,3040.000000,3095.949951,3039.068115,900968
2019-05-02,3095.000000,3148.949951,3060.000000,3131.750000,3074.210205,895830
2019-05-03,3130.100098,3165.000000,3102.300049,3111.850098,3054.676025,730728
2019-05-06,3066.000000,3094.000000,3026.000000,3034.300049,2978.550781,966487
2019-05-07,3052.899902,3069.800049,3007.600098,3017.050049,2961.617676,970264
2019-05-08,3012.000000,3017.000000,2900.000000,2921.300049,2867.626953,1155023
2019-05-09,2900.000000,2991.800049,2885.000000,2971.350098,2916.757324,1745234
2019-05-10,2970.100098,2996.000000,2900.000000,2922.850098,2869.148682,1630089
2019-05-13,2929.899902,2957.949951,2906.000000,2931.850098,2877.982910,1356229
2019-05-14,2927.949951,2941.949951,2848.100098,2881.850098,2828.901855,1861760
2019-05-15,2921.000000,3023.250000,2870.800049,3002.750000,2947.580322,2453670
2019-05-16,3014.000000,3129.000000,3010.250000,3110.050049,3052.909180,3644672
2019-05-17,3137.000000,3316.000000,3122.050049,3301.100098,3240.448975,5848716
2019-05-20,3390.000000,3444.550049,3343.000000,3407.550049,3344.942871,2724859
2019-05-21,3418.050049,3488.000000,3375.000000,3433.300049,3370.219971,2884997
2019-05-22,3442.000000,3459.550049,3398.050049,3448.899902,3385.532959,1566812
2019-05-23,3495.000000,3518.000000,3355.649902,3377.750000,3315.690430,2406205
2019-05-24,3400.000000,3475.000000,3391.300049,3467.899902,3404.184326,1568523
2019-05-27,3480.000000,3484.949951,3440.000000,3449.000000,3385.631348,932000
2019-05-28,3468.000000,3468.149902,3386.750000,3409.800049,3347.151855,1627768
2019-05-29,3403.000000,3433.000000,3384.500000,3409.250000,3346.611816,921278
2019-05-30,3408.899902,3489.699951,3400.050049,3481.649902,3417.681885,1175111
2019-05-31,3497.449951,3531.000000,3448.699951,3467.100098,3403.398926,2172866
2019-06-03,3460.000000,3529.899902,3460.000000,3511.050049,3446.541260,1241133
2019-06-04,3514.500000,3550.000000,3509.550049,3531.149902,3466.271973,1051400
2019-06-06,3533.000000,3533.000000,3445.449951,3452.949951,3389.508545,1314916
2019-06-07,3453.149902,3519.000000,3419.949951,3509.449951,3444.970947,1285044
2019-06-10,3546.949951,3557.750000,3506.000000,3519.600098,3454.934570,983274
2019-06-11,3537.000000,3564.000000,3511.250000,3551.850098,3486.591797,903155
2019-06-12,3539.949951,3539.949951,3482.000000,3505.850098,3441.437256,1214470
2019-06-13,3505.000000,3551.000000,3500.000000,3544.500000,3479.376709,880318
2019-06-14,3553.949951,3569.800049,3501.000000,3518.399902,3453.756348,864641
2019-06-17,3529.000000,3529.800049,3456.000000,3466.500000,3402.810059,953460
2019-06-18,3474.000000,3530.000000,3469.050049,3509.300049,3444.823730,1083527
2019-06-19,3539.000000,3548.000000,3500.100098,3525.500000,3460.725830,873941
