Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1600.000000,1605.000000,1560.550049,1595.599976,1532.775269,4043870
2019-01-02,1587.599976,1598.000000,1568.250000,1576.599976,1514.523193,1164974
2019-01-03,1573.000000,1580.000000,1555.650024,1560.099976,1498.672974,958038
2019-01-04,1560.800049,1571.000000,1540.199951,1548.199951,1487.241455,1868151
2019-01-07,1561.000000,1610.000000,1550.500000,1559.150024,1497.760376,3991996
2019-01-08,1563.150024,1588.000000,1551.000000,1577.750000,1515.627930,1479592
2019-01-09,1580.000000,1610.000000,1548.000000,1601.750000,1538.682983,6447772
2019-01-10,1607.849976,1607.849976,1554.000000,1565.900024,1504.244629,4377060
2019-01-11,1570.000000,1574.000000,1508.300049,1515.150024,1455.492798,3180775
2019-01-14,1509.000000,1509.000000,1471.000000,1484.050049,1425.617310,3615252
2019-01-15,1491.000000,1504.400024,1486.000000,1495.199951,1436.328247,1725819
2019-01-16,1496.000000,1532.000000,1495.949951,1526.699951,1466.588013,2188162
2019-01-17,1526.699951,1536.000000,1510.000000,1523.000000,1463.033691,1467807
2019-01-18,1523.099976,1532.400024,1513.000000,1516.900024,1457.174072,1589082
2019-01-21,1511.300049,1517.900024,1497.000000,1507.599976,1448.240234,1606142
2019-01-22,1502.000000,1506.199951,1475.000000,1501.599976,1442.476318,2666389
2019-01-23,1497.150024,1509.000000,1486.199951,1495.000000,1436.136108,1441440
2019-01-24,1492.199951,1500.000000,1478.500000,1490.300049,1431.621216,1088512
2019-01-25,1496.300049,1512.400024,1478.250000,1484.900024,1426.433960,1738412
2019-01-28,1472.199951,1492.949951,1437.400024,1443.699951,1386.855957,2246761
2019-01-29,1446.000000,1466.000000,1430.250000,1461.849976,1404.291382,1388542
2019-01-30,1465.900024,1490.000000,1458.000000,1476.099976,1417.980469,3193022
2019-01-31,1480.000000,1520.500000,1473.099976,1505.550049,1446.270874,2469714
2019-02-01,1507.900024,1535.400024,1496.900024,1515.150024,1455.492798,1547424
2019-02-04,1508.099976,1511.449951,1469.349976,1504.650024,1445.406250,2054061
2019-02-05,1504.849976,1557.150024,1498.050049,1541.750000,1481.045410,1710784
2019-02-06,1543.750000,1543.750000,1507.000000,1526.050049,1465.963745,1541770
2019-02-07,1525.000000,1529.900024,1507.000000,1514.949951,1455.300659,1602553
2019-02-08,1512.900024,1529.500000,1490.900024,1499.050049,1440.026855,2194466
2019-02-11,1502.900024,1518.000000,1482.000000,1511.000000,1451.506226,1387113
2019-02-12,1512.099976,1522.750000,1486.250000,1497.199951,1438.249390,1136862
2019-02-14,1491.900024,1530.800049,1476.050049,1517.500000,1457.750244,1756930
2019-02-15,1515.550049,1521.949951,1498.699951,1509.500000,1450.065308,1169312
2019-02-18,1509.500000,1524.900024,1500.000000,1517.000000,1457.269897,1040787
2019-02-19,1512.000000,1520.900024,1471.099976,1480.500000,1422.207153,1352025
2019-02-20,1480.000000,1493.599976,1474.099976,1480.800049,1422.495239,1688403
2019-02-21,1479.449951,1494.400024,1455.000000,1471.550049,1413.609497,2297058
2019-02-22,1474.000000,1486.949951,1458.099976,1462.800049,1405.204102,1314113
2019-02-25,1465.050049,1495.000000,1461.050049,1491.199951,1432.485840,1055629
2019-02-26,1480.000000,1488.849976,1461.800049,1478.099976,1419.901611,850891
2019-02-27,1482.050049,1493.949951,1458.199951,1476.699951,1418.556641,1553126
2019-02-28,1487.750000,1489.000000,1470.500000,1473.849976,1415.818726,2400890
2019-03-01,1481.699951,1519.500000,1474.949951,1514.099976,1454.484009,2243654
